date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-19 09:30:00,09:30 AM,40.42,40.36,40.372,607,5,40.41,40.42,WBA,0.0,100.0,32.04545,0.0,0.0,0.0,0.0
2020-08-19 09:31:00,09:31 AM,40.53,40.445,40.446,101,2,40.445,40.53,WBA,0.0,100.0,38.86364,4.0,0.00239,0.00048,0.00191
2020-08-19 09:32:00,09:32 AM,40.595,40.54,40.562,500,2,40.54,40.595,WBA,0.0,100.0,43.40909,8.0,0.00584,0.00155,0.00429
2020-08-19 09:33:00,09:33 AM,,,,0,0,,,WBA,0.0,18.17992,0.0,-4.0,-0.00749,-0.00026,-0.00723
2020-08-19 09:34:00,09:34 AM,,,,0,0,,,WBA,0.0,18.17992,11.78782,-4.0,-0.01784,-0.00377,-0.01407
2020-08-19 09:35:00,09:35 AM,40.29,40.29,40.29,181,1,40.29,40.29,WBA,0.0,17.35643,14.8423,-12.0,-0.02655,-0.00833,-0.01822
2020-08-19 09:36:00,09:36 AM,40.36,40.3,40.322,2621,33,40.33,40.32,WBA,0.0,21.20037,16.69759,-12.0,-0.03227,-0.01312,-0.01915
2020-08-19 09:37:00,09:37 AM,40.49,40.37,40.431,443,5,40.43,40.37,WBA,0.0,39.4101,27.82931,-12.0,-0.03159,-0.01681,-0.01478
2020-08-19 09:38:00,09:38 AM,,,,0,0,,,WBA,0.0,39.4101,27.82931,-12.0,-0.03071,-0.01959,-0.01112
2020-08-19 09:39:00,09:39 AM,,,,0,0,,,WBA,0.0,71.37534,74.2115,16.0,-0.00972,-0.01762,0.0079
2020-08-19 09:40:00,09:40 AM,40.52,40.52,40.52,100,1,40.52,40.52,WBA,0.0,61.57921,61.22449,16.0,0.00125,-0.01384,0.01509
2020-08-19 09:41:00,09:41 AM,40.675,40.65,40.663,200,2,40.675,40.65,WBA,0.0,66.27861,73.46939,16.0,0.0151,-0.00806,0.02315
2020-08-19 09:42:00,09:42 AM,40.6,40.6,40.6,100,1,40.6,40.6,WBA,0.34594,64.22764,70.50093,16.0,0.02449,-0.00155,0.02604
2020-08-19 09:43:00,09:43 AM,40.6,40.6,40.6,100,1,40.6,40.6,WBA,0.2716,64.22764,70.50093,16.0,0.03158,0.00508,0.0265
2020-08-19 09:44:00,09:44 AM,,,,0,0,,,WBA,0.22211,64.22764,80.85106,16.0,0.03677,0.01142,0.02535
2020-08-19 09:45:00,09:45 AM,40.57,40.57,40.57,100,1,40.57,40.57,WBA,0.66964,61.26771,76.59574,16.0,0.03882,0.0169,0.02192
2020-08-19 09:46:00,09:46 AM,40.63,40.62,40.625,200,2,40.63,40.62,WBA,0.94246,69.57317,100.0,44.0,0.04876,0.02327,0.02549
2020-08-19 09:47:00,09:47 AM,40.77,40.69,40.73,200,2,40.69,40.77,WBA,1.14116,73.47161,96.42857,48.0,0.06158,0.03093,0.03065
2020-08-19 09:48:00,09:48 AM,40.86,40.795,40.859,102,2,40.795,40.86,WBA,1.28968,76.68819,95.3125,52.0,0.0765,0.04005,0.03646
2020-08-19 09:49:00,09:49 AM,40.855,40.85,40.851,457,11,40.855,40.85,WBA,1.13918,76.68819,91.66667,52.0,0.08732,0.0495,0.03782
2020-08-19 09:50:00,09:50 AM,40.77,40.77,40.77,100,1,40.77,40.77,WBA,0.96582,67.23366,79.31034,52.0,0.08922,0.05745,0.03178
2020-08-19 09:51:00,09:51 AM,40.7,40.7,40.7,100,1,40.7,40.7,WBA,0.17229,59.35338,64.15094,52.0,0.08411,0.06278,0.02133
2020-08-19 09:52:00,09:52 AM,40.74,40.74,40.74,100,1,40.74,40.74,WBA,0.44379,62.08789,70.58824,52.0,0.08234,0.06669,0.01564
2020-08-19 09:53:00,09:53 AM,40.77,40.74,40.752,600,6,40.74,40.77,WBA,0.32984,63.41325,66.66667,52.0,0.0816,0.06967,0.01193
2020-08-19 09:54:00,09:54 AM,40.77,40.77,40.77,100,1,40.77,40.77,WBA,0.45063,65.55306,73.05556,52.0,0.08273,0.07228,0.01045
2020-08-19 09:55:00,09:55 AM,40.76,40.725,40.741,400,4,40.76,40.755,WBA,0.34474,60.5811,61.11111,52.0,0.07924,0.07368,0.00557
2020-08-19 09:56:00,09:56 AM,40.73,40.665,40.693,400,4,40.73,40.665,WBA,0.197,54.38291,43.66197,52.0,0.07082,0.0731,-0.00229
2020-08-19 09:57:00,09:57 AM,40.77,40.67,40.714,700,7,40.67,40.77,WBA,0.44346,60.22609,66.19718,52.0,0.0698,0.07244,-0.00265
2020-08-19 09:58:00,09:58 AM,40.78,40.78,40.78,200,1,40.78,40.78,WBA,0.19656,60.90029,69.01408,52.0,0.069,0.07175,-0.00276
2020-08-19 09:59:00,09:59 AM,40.79,40.74,40.774,700,6,40.775,40.74,WBA,-0.17169,53.13985,36.66667,52.0,0.0612,0.06964,-0.00844
2020-08-19 10:00:00,10 AM,40.715,40.65,40.683,411,6,40.665,40.71,WBA,-0.27914,55.14058,34.4,48.0,0.05647,0.06701,-0.01054
2020-08-19 10:01:00,10:01 AM,40.705,40.695,40.7,300,3,40.7,40.695,WBA,-0.35504,52.27475,22.0,44.0,0.04965,0.06354,-0.01389
2020-08-19 10:02:00,10:02 AM,40.64,40.64,40.64,100,1,40.64,40.64,WBA,-0.46603,43.2869,0.0,40.0,0.03456,0.05774,-0.02318
2020-08-19 10:03:00,10:03 AM,40.58,40.57,40.578,324,6,40.575,40.58,WBA,-0.29484,43.2869,6.89655,32.0,0.02235,0.05066,-0.02831
2020-08-19 10:04:00,10:04 AM,40.58,40.57,40.571,110,2,40.57,40.58,WBA,-0.44183,41.83607,0.0,32.0,0.01093,0.04272,-0.03179
2020-08-19 10:05:00,10:05 AM,40.575,40.545,40.56,200,2,40.575,40.545,WBA,-0.51766,41.0217,6.78571,-68.0,0.00098,0.03437,-0.03339
2020-08-19 10:06:00,10:06 AM,,,,0,0,,,WBA,-0.74277,36.87548,3.0303,-72.0,-0.01153,0.02519,-0.03672
2020-08-19 10:07:00,10:07 AM,40.53,40.495,40.506,2047,22,40.495,40.53,WBA,-0.58896,39.12176,9.09091,-72.0,-0.01961,0.01623,-0.03584
2020-08-19 10:08:00,10:08 AM,,,,0,0,,,WBA,-0.54067,36.33675,2.94118,-80.0,-0.0289,0.0072,-0.0361
2020-08-19 10:09:00,10:09 AM,40.445,40.44,40.443,200,2,40.44,40.445,WBA,-0.80942,34.36106,5.26316,-84.0,-0.03825,-0.00189,-0.03636
2020-08-19 10:10:00,10:10 AM,40.48,40.455,40.474,529,10,40.455,40.48,WBA,-0.74546,38.67039,14.73684,-84.0,-0.04226,-0.00996,-0.0323
2020-08-19 10:11:00,10:11 AM,40.485,40.465,40.475,207,4,40.465,40.48,WBA,-0.54054,39.14843,16.21622,-84.0,-0.04461,-0.01689,-0.02772
2020-08-19 10:12:00,10:12 AM,40.485,40.485,40.485,297,5,40.485,40.485,WBA,-0.62614,38.42274,13.78378,-84.0,-0.04665,-0.02284,-0.02381
